Позывной;№ расчета;Вылетов;Успешно;Процент успешности
Турик;1;458;86;18,78%
Затея;2;623;111;17,82%
Свят;6;419;76;18,14%
Мажор;7;288;58;20,14%
Удав;9;119;13;10,92%
Лев;10;570;82;14,39%
Лис;11;269;57;21,19%
Аха;12;195;15;7,69%
Рыба;15;566;47;8,30%
Ювелир;17;284;65;22,89%
Сапсан;18;384;36;9,38%
Амур;19;311;102;32,80%
Метис;20;370;32;8,65%
Грот;21;36;8;22,22%
Клик;22;54;18;33,33%
Кисель;23;222;20;9,01%
Аякс;24;110;8;7,27%
Падаван;25;175;21;12,00%
Псих;26;22;2;9,09%
Столяр;27;129;10;7,75%
