Позывной;№ расчета;Вылетов;Успешно;Процент успешности;ТИП
Турик;1;14;2;14,29%;KT
Затея;2;135;18;13,33%;KT
Свят;6;116;25;21,55%;KT
Мажор;7;50;21;42,00%;CT
Удав;9;0;0;0,00%;CT
Лев;10;215;27;12,56%;KT
Лис;11;0;0;0,00%;KT
Аха;12;145;6;4,14%;KT
Рыба;15;230;17;7,39%;KT
Ювелир;17;101;24;23,76%;CT
Сапсан;18;193;7;3,63%;KT
Амур;19;115;43;37,39%;CT
Метис;20;210;15;7,14%;KT
Грот;21;20;7;35,00%;CT
Клик;22;53;18;33,96%;KT
Кисель;23;221;20;9,05%;KT
Аякс;24;110;8;7,27%;KT
Падаван;25;175;21;12,00%;KT
Псих;26;22;2;9,09%;KT
Столяр;27;129;10;7,75%;KT
